=== RAPPORT DE TRACABILITE TRACELINK ===
Date;20/04/2026 13:13
Taux SSS->SRS;91.7%
Taux SRS->SDD;0.0%
Taux global;0.0%

=== MATRICE SSS x SRS ===
Identifiant SSS;Statut;SRS associees;Lien brise
EXIGENCE_CLIENT_PAY_F01;Couverte;EXIGENCE_PROJET_PAY_01;NON
EXIGENCE_CLIENT_PAY_F02;Couverte;EXIGENCE_PROJET_PAY_02;NON
EXIGENCE_CLIENT_PAY_F03;Couverte;EXIGENCE_PROJET_PAY_03;NON
EXIGENCE_CLIENT_PAY_F04;Couverte;EXIGENCE_PROJET_PAY_04;NON
EXIGENCE_CLIENT_PAY_F05;Couverte;EXIGENCE_PROJET_PAY_05;NON
EXIGENCE_CLIENT_PAY_F06;Couverte;EXIGENCE_PROJET_PAY_06;NON
EXIGENCE_CLIENT_PAY_F07;Couverte;EXIGENCE_PROJET_PAY_07;NON
EXIGENCE_CLIENT_PAY_F08;Couverte;EXIGENCE_PROJET_PAY_08;NON
EXIGENCE_CLIENT_PAY_F09;Non couverte;-;NON
EXIGENCE_CLIENT_SEC_F01;Couverte;EXIGENCE_PROJET_SEC_01;NON
EXIGENCE_CLIENT_SEC_F02;Couverte;EXIGENCE_PROJET_SEC_02;NON
EXIGENCE_CLIENT_SEC_F03;Couverte;EXIGENCE_PROJET_SEC_03;NON
EXIGENCE_CLIENT_SEC_F04;Couverte;EXIGENCE_PROJET_SEC_04;NON
EXIGENCE_CLIENT_SEC_F05;Couverte;EXIGENCE_PROJET_SEC_05;NON
EXIGENCE_CLIENT_SEC_F06;Couverte;EXIGENCE_PROJET_SEC_06;NON
EXIGENCE_CLIENT_SEC_F07;Couverte;EXIGENCE_PROJET_SEC_07;NON
EXIGENCE_CLIENT_NAV_F01;Couverte;EXIGENCE_PROJET_NAV_01 | EXIGENCE_PROJET_NAV_02;NON
EXIGENCE_CLIENT_NAV_F02;Couverte;EXIGENCE_PROJET_NAV_03;NON
EXIGENCE_CLIENT_NAV_F03;Couverte;EXIGENCE_PROJET_NAV_04 | EXIGENCE_PROJET_NAV_05;NON
EXIGENCE_CLIENT_NAV_F04;Couverte;EXIGENCE_PROJET_NAV_06;NON
EXIGENCE_CLIENT_NAV_F05;Couverte;EXIGENCE_PROJET_NAV_07;NON
EXIGENCE_CLIENT_NAV_F06;Couverte;EXIGENCE_PROJET_NAV_08;NON
EXIGENCE_CLIENT_NAV_F07;Couverte;EXIGENCE_PROJET_NAV_09;NON
EXIGENCE_CLIENT_NAV_F08;Non couverte;-;NON

=== MATRICE SRS x SDD ===
Identifiant SRS;Statut;SDD associees;Orpheline
EXIGENCE_PROJET_PAY_01;Non couverte;-;NON
EXIGENCE_PROJET_PAY_02;Non couverte;-;NON
EXIGENCE_PROJET_PAY_03;Non couverte;-;NON
EXIGENCE_PROJET_PAY_04;Non couverte;-;NON
EXIGENCE_PROJET_PAY_05;Non couverte;-;NON
EXIGENCE_PROJET_PAY_06;Non couverte;-;NON
EXIGENCE_PROJET_PAY_07;Non couverte;-;NON
EXIGENCE_PROJET_PAY_08;Non couverte;-;NON
EXIGENCE_PROJET_SEC_01;Non couverte;-;NON
EXIGENCE_PROJET_SEC_02;Non couverte;-;NON
EXIGENCE_PROJET_SEC_03;Non couverte;-;NON
EXIGENCE_PROJET_SEC_04;Non couverte;-;NON
EXIGENCE_PROJET_SEC_05;Non couverte;-;NON
EXIGENCE_PROJET_SEC_06;Non couverte;-;NON
EXIGENCE_PROJET_SEC_07;Non couverte;-;NON
EXIGENCE_PROJET_NAV_01;Non couverte;-;NON
EXIGENCE_PROJET_NAV_02;Non couverte;-;NON
EXIGENCE_PROJET_NAV_03;Non couverte;-;NON
EXIGENCE_PROJET_NAV_04;Non couverte;-;NON
EXIGENCE_PROJET_NAV_05;Non couverte;-;NON
EXIGENCE_PROJET_NAV_06;Non couverte;-;NON
EXIGENCE_PROJET_NAV_07;Non couverte;-;NON
EXIGENCE_PROJET_NAV_08;Non couverte;-;NON
EXIGENCE_PROJET_NAV_09;Non couverte;-;NON
